Ë≠âÂà∏‰ª??,Ë≠âÂà∏?çÁ®±,?ê‰∫§?°Êï∏,?ê‰∫§?ëÈ?,?ãÁõ§???ÄÈ´òÂÉπ,?Ä‰ΩéÂÉπ,?∂Áõ§??Êº≤Ë??πÂ∑Æ,?ê‰∫§Á≠ÜÊï∏,,,
2462,"?ØÂ???,159","595""","3,800,609",25.5,25.5,23.3,23.8,-0.9,89,
2464,?üÁ?,"806,816","23,110,974",28.7,29.4,28.3,28.3,-0.4,521,
2465,È∫óËá∫,"115,516","704,814",6.05,6.2,6.04,6.05,0,84,
2466,"?†Ë•ø??,69","000""","2,206,750",32.2,32.25,31.6,32.2,-0.05,62,
2467,ÂøóË?,"924,081","23,053,993",25.25,25.45,24.8,24.8,-0.2,582,
2468,?ØÁ?,"156,000","1,935,100",12.45,12.55,12.25,12.35,-0.1,74,
2471,"Ë≥áÈÄ?,262","110""","4,428,981",16.75,17.05,16.6,16.6,-0.3,131,
2472,"Á´ãÈ???,395","450""","10,660,981",27.65,27.7,26.05,26.05,-1.25,300,
2474,?ØÊ?,"6,523,718","1,266,158,856",197.5,198,190,192,3.5,"4,051",
2476,?ÖÁ••,"377,400","6,763,329",17.55,18.1,17.3,17.8,0.25,225,
2477,"ÁæéÈ???,345","673""","6,054,108",17.75,17.8,17,17.25,-0.5,199,
2478,Â§ßÊ?,"10,591,923","568,754,900",55.6,56.1,50,51.5,-2.7,"6,788",
2480,"?¶ÈôΩÁß?,1",770,"118""","94,072,895",54,54.4,52.5,52.6,-1.4,"1,154"
2481,Âº∑Ë?,"5,235,953","82,985,270",16.35,16.55,15,15.2,-0.95,"3,087",
2482,???,"181,111","1,827,965",10.1,10.2,9.95,10.05,0.08,87,
2483,?æÂÆπ,"153,000","2,439,250",16,16.15,15.8,15.8,-0.2,85,
2484,Â∏åËèØ,"1,203,033","18,714,170",15.85,16.1,15,15,-0.85,694,
2485,?ÜËµ´,"1,561,407","19,652,145",12.55,12.85,12.35,12.45,-0.15,851,
2486,"‰∏ÄË©?,637","562""","3,494,299",5.6,5.6,5.34,5.35,-0.19,222,
2488,Êº¢Âπ≥,"326,000","8,341,547",25.65,26.05,25.05,25.05,-0.55,232,
2489,?ûË?,"1,879,389","12,620,900",6.71,6.77,6.65,6.66,-0.05,781,
2491,"?âÁ••??,86","004""","597,486",7.49,7.49,6.68,6.9,-0.52,35,
2492,"?ØÊñ∞Áß?,17",222,"330""","2,586,662,850",153.5,154.5,144,144.5,-5.5,"11,256"
2493,?öÂ?,"651,101","15,503,138",24,24.25,23.6,23.65,-0.5,393,
2495,?ÆÂ?,"551,700","5,965,800",10.9,10.9,10.65,10.7,0,160,
2496,?ìË?,"24,000","1,278,700",53.5,54.5,52,52,-1.6,20,
2497,"?°Âà©??,151","300""","2,092,490",14.05,14.05,13.7,13.8,-0.05,86,
2498,"ÂÆèÈ???,10",899,"571""","303,059,543",27.55,28.95,26.95,26.95,0,"5,761"
2499,?±Ë?,"3,742,346","24,490,535",6.7,6.8,6.2,6.23,-0.44,"1,188",
2501,?ãÂª∫,"1,355,958","22,934,888",17.05,17.1,16.75,16.75,-0.35,976,
2504,?ãÁî¢,"18,810,871","196,581,083",10.5,10.85,10.1,10.1,0.19,"6,143",
2505,?ãÊ?,"1,912,244","25,153,422",13.25,13.5,13,13.15,-0.45,633,
2506,Â§™Ë®≠,"231,478","2,142,328",9.33,9.4,9.03,9.3,-0.14,162,
2509,"?®Âù§Âª?,141","260""","2,761,106",18.95,19.9,18.95,19.8,-0.1,123,
2511,Â§™Â?,"1,839,072","16,689,530",9.2,9.21,9,9.01,-0.19,708,
2514,ÈæçÈÇ¶,"3,395,125","40,847,479",12.3,12.35,11.7,12.35,0.1,645,
2515,‰∏≠Â∑•,"6,476,432","36,284,089",5.65,5.69,5.55,5.55,-0.1,"1,489",
2516,?∞Âª∫,"1,543,331","6,317,978",4.12,4.2,3.72,3.72,-0.4,152,
2520,?†Âæ∑,"2,441,488","48,529,753",20.4,20.5,19.3,19.55,-0.85,"1,091",
2524,‰∫¨Â?,"704,289","20,632,678",28.7,31.15,28.05,28.05,-1.45,488,
2527,ÂÆèÁ?,"346,000","5,854,200",17.3,17.35,16.6,16.7,-0.45,213,
2528,?áÊôÆ,"397,643","6,820,766",17.6,17.65,16.85,17,-0.65,175,
2530,?ØÂª∫,"413,371","6,653,071",15.85,16.2,15.8,16.15,-0.05,101,
2534,ÂÆèÁ?,"2,428,691","36,984,533",15.5,15.7,14.75,14.75,-0.75,999,
2535,"?îÊ¨£Â∑?,2",476,"750""","48,136,992",19.55,19.75,19.15,19.15,-0.25,"1,073"
2536,ÂÆèÊôÆ,"833,003","16,817,010",20.35,20.55,20,20,-0.15,308,
2537,"?Ø‰???,2",246,"012""","14,529,273",6.5,6.7,6.33,6.36,-0.05,864
2538,?∫Ê≥∞,"1,062,491","9,385,224",8.89,8.94,8.75,8.75,-0.16,404,
2539,"Ê´ªËä±Âª?,453","494""","13,548,193",29.3,30.4,29.1,30.25,1,268,
2540,"?õÂ±±??,34","000""","655,500",19.3,19.95,18.8,19,0.1,23,
2542,"?àÂ???,5",75,"638""","187,835,446",38,38,36.3,36.45,-1.55,"3,535"
2543,?áÊ?,"37,005","252,381",6.86,6.92,6.5,6.92,0.62,31,
2545,?áÁ?,"776,400","20,215,729",27.75,27.75,25.15,25.7,-1.65,441,
2546,?πÂü∫,"192,301","6,578,771",34.45,35.45,33.75,33.85,-0.25,164,
2547,"?•Â???,1",525,"449""","11,993,936",7.83,7.99,7.7,7.78,-0.03,729
2548,?ØÂõ∫,"3,870,056","324,412,776",86.5,86.5,82,82.8,-4.1,"2,754",
2597,ÊΩ§Â?,"114,001","6,068,052",55,55,50.3,52.1,-1.9,96,
2601,?äËà™,"2,503,976","18,936,874",7.52,7.7,7.46,7.57,-0.01,733,
2603,?∑Ê¶Æ,"22,510,059","216,855,169",9.46,9.98,9.38,9.5,0.08,"7,116",
2605,?∞Ë?,"2,046,100","21,564,540",10.4,10.65,10.4,10.5,0.05,899,
2606,Ë£ïÊ?,"2,598,973","65,788,011",25.6,25.85,24.9,24.9,-0.1,"1,433",
2607,Ê¶ÆÈ?,"1,423,209","16,841,578",11.95,11.95,11.7,11.7,-0.25,360,
2608,?âÈ?Â§ßÊ¶Æ,"464,605","15,655,077",34,34,33.4,33.6,-0.4,339,
2609,?ΩÊ?,"4,002,828","20,114,073",4.89,5.2,4.89,4.96,0.01,"1,145",
2610,?ØËà™,"37,949,187","232,961,710",6.5,6.53,5.95,6,-0.49,"10,010",
2611,Âøó‰ø°,"79,713","496,462",6.11,6.4,6.11,6.22,-0.01,49,
2612,‰∏≠Ëà™,"358,341","7,385,384",20.75,21,20.1,20.35,-0.25,243,
2613,‰∏≠Ê?,"203,188","2,218,339",10.65,11.05,10.65,11.05,0,100,
2614,?±Ê£Æ,"3,073,586","32,019,389",10.5,10.7,10.2,10.2,-0.1,"1,323",
2615,?¨Êµ∑,"4,432,155","58,871,363",13.6,13.65,13,13.15,-0.25,"1,759",
2616,Â±±È?,"382,966","10,442,421",27.2,27.8,27.1,27.1,0.05,230,
2617,?∞Ëà™,"680,149","8,989,837",13.05,13.45,13,13,0.15,345,
2618,"?∑Ê¶Æ??,53",769,"826""","470,938,611",9.4,9.4,8.51,8.55,-0.9,"16,459"
2630,‰∫ûËà™,"118,000","1,359,350",11.65,12,11.25,11.25,-0.95,62,
2633,?∞ÁÅ£È´òÈêµ,"14,398,503","401,925,284",27.5,28.4,27.4,27.8,-0.6,"6,208",
2634,Êº¢Á?,"2,867,034","76,814,005",26.95,27.1,26.6,26.8,-0.15,"1,436",
2636,?∞È??ïÊéß,"319,928","6,083,432",19,19.45,18.8,18.85,-0.15,204,
2637,?ßÊ?-KY,"3,082,848","67,714,547",22.6,22.85,21.35,21.55,-1.1,"1,261",
2642,"ÂÆÖÈ???,653","150""","15,991,550",24.15,25,24.15,24.25,0.1,400,
2701,?¨‰?,"211,297","2,308,576",11.1,11.1,10.7,10.95,-0.25,158,
2702,?ØÂ?,"615,896","6,757,868",11.65,11.85,10.35,10.45,-1.05,327,
2704,?ãË?,"338,023","7,738,222",23.1,23.5,22.2,22.8,-0.3,224,
2705,?≠Á?,"398,838","3,836,384",9.74,9.74,9.5,9.68,0.02,220,
2706,"Á¨¨‰?Â∫?,315","894""","3,918,623",12.7,12.7,12.2,12.5,-0.2,173,
2707,?∂ËèØ,"906,212","102,645,456",120,120,110,110.5,-9.5,695,
2712,"?†È?‰æ?,32","000""","977,450",30.15,32.5,30.05,30.05,-3.3,24,
2722,Â§èÈÉΩ,"524,000","10,993,000",19.8,21,19.8,20.5,0.75,25,
2723,ÁæéÈ?-KY,"1,648,483","106,482,568",65.1,66.6,62.4,62.4,-1.7,"1,271",
2727,?ãÂ?,"636,848","35,804,288",57.3,58.9,54.5,54.6,-2.7,"1,346",
2731,?ÑÁ?,"595,041","30,966,037",55.2,55.2,51.1,51.2,-5.5,497,
2739,ÂØíË?,"97,099","1,950,478",20.45,20.5,19.4,20.5,0.05,60,
2748,?≤Â?,"108,714","4,028,407",37.15,37.45,36.85,36.85,-0.95,98,
2801,ÂΩ∞È?,"19,575,145","377,671,428",19.3,19.55,18.9,19.5,0.05,"7,218",
2809,‰∫¨Â??Ä,"8,522,632","245,587,381",29.2,29.45,28.3,28.45,-0.75,"3,281",
2812,?∞‰∏≠?Ä,"17,258,291","175,784,353",10.3,10.35,10.05,10.05,-0.2,"5,631",
2816,"?∫Êó∫‰ø?,314","532""","5,368,633",17.2,17.5,16.8,16.8,-0.35,169,
2820,?ØÁ•®,"1,904,731","26,458,526",13.85,13.95,13.85,13.85,-0.1,707,
2823,‰∏≠Â£Ω,"33,638,654","538,043,748",16.1,16.3,15.65,15.85,-0.25,"10,072",
2832,?∞Áî¢,"684,680","12,353,370",18.3,18.3,17.85,18.05,-0.25,359,
2834,?∫‰??Ä,"47,298,175","453,944,596",9.74,9.75,9.44,9.48,-0.25,"15,128",
2836,È´òÈ??Ä,"1,357,824","11,777,786",8.73,8.73,8.64,8.66,-0.06,565,
2838,?ØÈÇ¶?Ä,"2,701,544","26,021,961",9.68,9.78,9.55,9.55,-0.13,"1,205",
2838A,?ØÈÇ¶?Ä?≤Áâπ,"312,250","16,160,974",51.6,52.1,51.4,51.5,0,178,
2841,?∞È?,"7,617,709","40,706,147",5.42,5.54,5.17,5.17,-0.13,"1,558",
2845,?†Êù±?Ä,"8,035,305","77,564,597",9.9,9.9,9.5,9.51,-0.21,"3,077",
2849,ÂÆâÊ≥∞?Ä,"416,316","5,256,516",12.65,12.8,12.5,12.5,-0.4,274,
2850,?∞Áî¢,"509,300","16,360,050",32.3,32.85,31.7,31.75,-0.45,324,
2851,"‰∏≠Â?‰ø?,508","786""","8,428,396",16.65,16.75,16.5,16.55,-0.1,286,
2852,"Á¨¨‰?‰ø?,254","243""","2,910,354",11.55,11.65,11.35,11.45,-0.1,132,
2855,"Áµ±‰?Ë≠?,1",611,"274""","18,104,098",11.25,11.4,11.1,11.2,-0.1,679
2867,"‰∏âÂ?Â£?,6",961,"102""","60,254,908",8.85,8.87,8.45,8.45,-0.37,"2,553"
2880,"?ØÂ???,41",933,"266""","734,063,048",17.85,17.85,17.3,17.5,-0.35,"13,382"
2881,"ÂØåÈÇ¶??,30",545,"208""","1,130,248,607",37.4,37.55,36.7,36.85,-0.5,"11,557"
2881A,"ÂØåÈÇ¶??,686","045""","42,966,044",62.5,62.9,62.4,62.5,-0.3,883,
2881B,"ÂØåÈÇ¶?ë‰???,589","577""","36,749,637",61.5,62.6,61.5,62,0.6,208,
2882,"?ãÊ≥∞??,36",276,"918""","1,263,780,681",35.05,35.15,34.55,34.65,-0.35,"13,239"
2882A,"?ãÊ≥∞??,993","727""","61,277,385",61.6,61.9,61.4,61.6,-0.2,303,
2882B,"?ãÊ≥∞?ë‰???,623","812""","38,646,013",61.4,62.1,61.4,62,0.6,135,
2883,"?ãÁôº??,59",718,"807""","451,452,491",7.61,7.65,7.5,7.5,-0.1,"9,449"
2884,"?âÂ±±??,162",751,"115""","3,693,666,592",22.8,23.25,22.2,22.2,-1.35,"50,725"
2885,"?ÉÂ§ß??,39",140,"446""","606,092,853",15.4,15.8,15.1,15.55,-0.05,"8,698"
2886,"?ÜË???,47",149,"691""","1,320,506,700",27.6,28.45,27.6,28,0,"15,541"
2887,"?∞Êñ∞??,65",105,"656""","756,835,985",11.95,12,11.3,11.4,-0.55,"17,702"
2887E,?∞Êñ∞?äÁâπ,"239,623","12,669,307",52.8,53.3,52.5,52.7,-0.1,134,
2887F,"?∞Êñ∞?äÁâπ‰∫?,313","874""","16,321,374",51,52.5,51,51.5,0.3,145,
2888,"?∞Â???,83",729,"521""","636,558,316",7.79,7.8,7.46,7.46,-0.25,"13,562"
2888A,"?∞Â??ëÁî≤??,440","131""","19,277,694",43.5,44.35,42.85,43.55,0.1,155,
2889,"?ãÁ•®??,7",581,"168""","72,009,703",9.62,9.62,9.4,9.62,-0.03,"2,842"
2890,"Ê∞∏Ë???,40",651,"026""","412,566,194",10.2,10.3,10,10.1,-0.2,"8,640"
2891,"‰∏≠‰ø°??,90",387,"788""","1,632,454,892",18.25,18.3,17.9,17.95,-0.4,"27,274"
2891B,"‰∏≠‰ø°?ë‰???,237","271""","15,451,936",64.5,65.5,64.5,65.5,0,116,
2891C,"‰∏≠‰ø°?ë‰???,360","948""","22,219,614",61,62.1,60.8,61.5,0.5,210,
2892,"Á¨¨‰???,66",975,"750""","1,281,324,911",19.4,19.45,19,19.05,-0.4,"21,149"
2897,"?ãÈ??ÄË°?,2",725,"285""","16,171,058",6.17,6.17,5.82,5.95,-0.18,870
2897A,?ãÈ??Ä?≤Áâπ,"223,500","2,189,165",9.8,9.86,9.7,9.8,0,71,
2901,Ê¨?¨£,"36,000","815,750",23,23,22.15,22.8,-0.2,33,
2903,?†Áôæ,"2,835,704","59,795,418",21.1,21.2,21,21.15,0,895,
2904,?ØÂ?,"123,412","2,283,557",18.55,18.55,18.4,18.5,0,80,
2905,‰∏âÂ?,"1,657,660","26,045,592",16,16.05,15.5,15.5,-0.55,844,
2906,È´òÊ?,"135,221","1,327,905",9.9,9.99,9.7,9.85,-0.01,82,
2908,?πÂ?,"435,691","8,060,613",18.8,19.1,18.3,18.5,-0.35,230,
2910,Áµ±È?,"27,000","817,300",28.6,31.45,28.6,31.2,2.6,26,
2911,"È∫óÂ¨∞??,321","240""","1,893,830",5.92,6.08,5.61,5.86,-0.06,163,
2912,"Áµ±‰?Ë∂?,3",64,"088""","874,885,411",285,290,281,283.5,-3,"2,271"
2913,Ëæ≤Ê?,"2,029,213","25,396,736",12.55,12.7,12.3,12.35,-0.5,706,
2915,"ÊΩ§Ê≥∞??,4",375,"726""","284,619,982",63.3,66.3,63.3,64.4,1.1,"2,824"
2923,ÈºéÂõ∫-KY,"174,000","3,691,450",20.5,22.45,20.5,22.3,1.2,135,
2929,Ê∑òÂ?-KY,"1,154,530","62,036,424",56.1,56.7,50.7,50.7,-5.1,923,
2936,ÂÆ¢ÊÄùÈ?-KY,"43,000","557,150",13.05,13.3,12.65,12.65,-1.2,37,
2939,?±Áæø-KY,"132,150","11,982,674",88.9,93.5,87.5,89.1,0.2,124,
3002,Ê≠êÊ†º,"338,148","2,869,888",8.42,8.7,8.3,8.6,-0.23,145,
3003,"?•Â???,490","225""","15,418,330",32.65,32.65,30.9,31,-1,350,
3004,"Ë±êÈ?Áß?,431","100""","21,507,850",50.7,51.7,48,48,-2.2,437,
3005,Á•ûÂü∫,"3,060,184","132,539,934",43.55,44.75,42.5,42.5,-0.9,"1,937",
3006,"?∂Ë±™Áß?,2",246,"928""","61,721,219",28,28.5,26.65,26.7,-0.8,"1,363"
3008,"Â§ßÁ???,1",188,"034""","4,403,957,570","3,760.00","3,815.00","3,600.00","3,600.00",-135,"1,567"
3010,?ØÁ?,"413,551","19,165,976",46.4,47.3,45.8,45.85,-0.85,333,
3011,‰ªäÁ?,"140,099","583,756",4.07,4.23,4.07,4.18,0.05,55,
3013,"?üÈ???,346","657""","3,870,958",11.15,11.35,11,11.25,-0.1,189,
3014,?ØÈôΩ,"3,532,299","135,466,461",39.4,39.6,37.2,37.2,-1.65,"2,254",
3015,?®Êº¢,"299,225","4,873,156",16.5,16.5,16.05,16.1,-0.25,177,
3016,?âÊô∂,"23,454,318","1,240,136,173",53,54.7,49.8,50.9,-1.1,"14,629",
3017,Â•áÈ?,"12,997,586","364,781,555",28,29.2,27.5,27.5,0.5,"6,658",
3018,?åÈ?,"482,655","7,718,437",16.15,16.5,15.5,15.65,-0.25,280,
3019,‰∫ûÂ?,"3,515,047","211,560,444",61.3,62.2,58,58.1,-2.1,"2,488",
3021,È¥ªÂ?,"163,135","1,967,629",12.15,12.45,11.75,11.75,-0.6,87,
3022,"Â®ÅÂº∑??,1",294,"695""","39,321,259",30.15,31.85,29.5,30.8,-0.75,769
3023,‰ø°ÈÇ¶,"2,928,949","299,880,256",102,104.5,100,102,1.5,"2,157",
3024,?∂ËÅ≤,"304,319","1,928,633",6.77,6.8,6.25,6.28,-0.18,91,
3025,"?üÈÄ?,215","006""","3,062,084",14.35,14.45,14,14.05,-0.3,103,
3026,"Á¶æ‰º∏??,3",821,"189""","331,774,565",89.1,89.7,83.5,83.5,-3.6,"2,777"
3027,?õÈ?,"146,000","841,690",5.8,5.81,5.7,5.7,-0.07,74,
3028,"Â¢û‰?Âº?,733","535""","12,593,809",17.35,17.5,17,17.05,-0.3,368,
3029,?∂Â£π,"2,564,300","74,055,676",28.8,29.35,28.25,28.3,0.1,"1,682",
3030,Âæ∑Â?,"1,031,557","44,469,851",43.85,43.85,42.5,42.5,-0.8,736,
3031,‰Ω∞È¥ª,"1,452,563","14,902,114",10.2,10.35,10.05,10.2,0.05,404,
3032,?âË?,"281,358","5,797,550",20.2,20.85,20.2,20.7,0.35,166,
3033,Â®ÅÂÅ•,"1,723,618","21,614,724",12.75,12.9,12.1,12.1,-0.65,922,
3034,?ØË?,"5,443,470","930,502,702",171,173.5,168,168.5,-1.5,"3,882",
3035,?∫Â?,"3,697,899","122,601,160",33.95,34,32,32.35,-0.6,"2,575",
3036,?áÊ?,"1,443,269","50,597,020",35.05,35.35,34.6,34.65,-0.65,875,
3037,Ê¨??,"40,064,336","1,089,605,990",27.4,28,26.2,26.2,-0.3,"18,046",
3038,?®Âè∞,"1,227,998","16,264,474",13.5,13.6,13,13,-0.2,541,
3040,?†Ë?,"107,000","2,696,450",25.5,25.55,25,25.1,0.05,77,
3041,?öÊô∫,"3,288,450","43,618,950",13.5,13.65,12.8,12.8,-0.3,"1,538",
3042,?∂Ê?,"11,675,907","482,210,812",43.1,43.65,40.1,40.1,-2.4,"7,261",
3043,ÁßëÈ¢®,"277,475","380,458",1.35,1.42,1.35,1.36,-0.14,58,
3044,?•È?,"2,729,650","240,043,637",86.9,90.9,86.6,87.4,0.6,"1,415",
3045,"?∞ÁÅ£Â§?,11",731,"057""","1,185,341,257",102.5,102.5,99.8,101,-2,"5,758"
3046,Âª∫Á?,"19,098","144,811",7.8,7.8,7.33,7.35,-0.37,31,
3047,Ë®äË?,"1,580,010","9,790,980",6.23,6.38,6,6.05,-0.25,422,
3048,?äÁôª,"2,766,734","38,419,082",14.05,14.3,13.6,13.6,0.3,"1,431",
3049,?åÈë´,"15,529,677","141,640,538",8.92,9.35,8.85,8.94,0.19,"4,798",
3050,?∫Âæ∑,"2,109,005","17,245,280",8.32,8.35,7.99,8,-0.46,613,
3051,?õÁâπ,"189,912","583,591",3,3.19,3,3.14,0.05,48,
3052,Â§ÜÂÖ∏,"1,525,009","13,765,663",8.91,9.22,8.8,8.98,0.12,370,
3054,"Á´ãËê¨??,49","567""","1,118,155",22.9,22.9,22.2,22.3,-0.55,46,
3055,"?öËèØÁß?,121","214""","3,047,754",25.55,25.6,24.9,24.9,-0.2,106,
3056,Á∏ΩÂ§™,"2,619,643","60,688,635",24.05,24.1,22.7,22.7,-1.3,"1,395",
3057,?¨È?,"327,086","1,435,103",4.4,4.64,4.3,4.34,-0.09,134,
3058,Á´ãÂæ∑,"328,000","1,715,490",5.4,5.4,5.05,5.2,-0.21,120,
3059,"?ØÊô∂Áß?,1",290,"277""","21,520,370",16.85,17.15,16.05,16.3,-0.9,708
3060,?òÁï∞,"1,635,733","18,513,213",11.35,11.7,11,11,-0.15,798,
3062,Âª∫Êº¢,"1,651,892","18,854,460",11.3,11.6,11.2,11.3,-0.1,857,
3090,"?•ÈõªË≤?,2",200,"720""","82,162,897",37.7,38.15,36.35,36.5,-0.8,"1,594"
3094,?ØÂ?,"423,030","6,656,616",15.7,16.2,15.45,15.75,-0.15,215,
3130,‰∏Ä?∂Â?,"62,050","8,432,250",140.5,141,132.5,132.5,-7.5,83,
3149,Ê≠??,"1,026,581","5,168,049",5.45,5.46,4.91,4.95,-0.5,306,
3164,?ØÂ≤≥,"223,184","4,464,330",20,20.55,19.45,19.45,-0.55,107,
3167,Â§ßÈ?,"200,001","6,827,884",34.25,34.4,33.9,34.1,-0.15,161,
3189,?ØÁ¢©,"5,613,719","197,730,077",36,36.15,34.35,34.5,-0.7,"3,258",
3209,?®Á?,"741,471","12,590,407",17.05,17.15,16.8,17,0.05,372,
3229,?üÈà¶,"47,585","440,469",9.32,9.65,9.15,9.3,-0.02,23,
3231,Á∑ØÂâµ,"24,039,639","492,305,028",20.65,20.9,20.1,20.1,-0.7,"9,482",
3257,"?πÂ???,170","507""","7,980,346",47.4,47.5,46.6,46.85,-0.55,132,
3266,?áÈôΩ,"114,000","1,388,650",11.8,12.35,11.8,12.25,0.05,82,
3296,?ùÂæ∑,"105,500","1,250,374",12.05,12.2,11.5,11.95,-0.25,65,
3305,?áË≤ø,"157,127","2,945,313",18.7,18.95,18.5,18.75,-0.15,117,
3308,?ØÂæ∑,"15,019","65,259",4.3,4.64,4.06,4.21,X0.00,14,
3311,?éÊ?,"195,464","3,949,834",20.85,20.9,19.65,19.8,-1,199,
3312,"ÂºòÊÜ∂??,602","280""","6,784,793",11.6,11.65,11.05,11.05,-0.15,266,
3321,?åÊ≥∞,"336,956","2,419,573",7.09,7.45,6.88,6.88,-0.53,197,
3338,Ê≥∞Á¢©,"18,276,856","1,475,515,249",82,83.5,77.7,77.7,-2.1,"13,273",
3346,È∫óÊ?,"250,087","4,375,405",18.05,18.1,17.25,17.25,-0.55,151,
3356,Â•áÂÅ∂,"777,259","14,504,598",19.25,19.3,18,18,-1.25,420,
3376,"?∞Êó•??,3",69,"376""","316,402,200",106,108,99,99,-7,"2,201"
3380,?éÊ≥∞,"3,804,135","60,296,897",16.15,16.25,15.55,15.6,-0.4,"1,624",
3383,?∞‰?Á¥Ä,"78,775","314,256",4.2,4.31,3.73,4.28,0.14,36,
3406,"?âÊô∂??,15",301,"409""","5,279,206,154",356,358.5,326,330.5,-15,"11,789"
3413,‰∫¨È?,"2,342,922","246,039,810",107.5,107.5,103,103,-1,"1,871",
3416,"?çÁ???,91","100""","4,559,560",50.9,50.9,49.3,49.75,-0.35,65,
3419,Ë≠ÅË?,"825,133","8,212,718",9.81,10.15,9.71,9.71,-0.09,363,
3432,?∞Á´Ø,"81,000","735,250",9,9.18,9,9.03,-0.18,46,
3437,Ê¶ÆÂâµ,"991,200","11,050,400",11.3,11.35,10.85,10.9,-0.25,451,
3443,?µÊ?,"1,796,517","332,018,260",187,192,177.5,177.5,-7.5,"1,646",
3450,?ØÈ?,"7,145,340","430,987,783",62,62.4,56.5,57.7,-2.6,"5,174",
3454,?∂Áùø,"278,546","18,443,495",66,67.3,65.2,65.2,-0.8,261,
3481,Áæ§Ââµ,"127,010,436","732,635,520",5.86,5.91,5.64,5.64,-0.13,"23,344",
3494,Ë™†Á?,"232,000","744,580",3.21,3.32,3.16,3.22,0.01,69,
3501,Á∂≠ÁÜπ,"203,234","8,003,545",39.1,39.75,39,39,-0.75,150,
3504,"?öÊ???,1",530,"697""","69,317,510",46,47,42.6,42.6,-2.85,"1,047"
3515,?ØÊ?,"5,248,650","475,181,850",91.1,94,87,87,-3.5,"4,292",
3518,?èÈ®∞,"735,008","14,241,744",20.9,20.9,18.15,18.15,-2,477,
3528,ÂÆâÈ¶≥,"99,198","3,450,980",35.1,35.75,34.2,35,0.5,89,
3530,"?∂Áõ∏??,2",481,"407""","181,972,997",76,77.1,68.8,68.9,-5.2,"1,935"
3532,"?∞Â?Áß?,6",13,"181""","861,864,573",142,150,133.5,133.5,-9.5,"4,391"
3533,?âÊæ§,"1,956,728","469,880,860",237.5,245,232,233.5,1.5,"1,674",
3535,"?∂ÂΩ©Áß?,1",335,"013""","14,934,732",11.35,11.9,10.6,10.6,-0.45,763
3536,Ë™†Ââµ,"44,010","141,272",3.21,3.21,3.21,3.21,-0.35,14,
3545,?¶Ê≥∞,"7,698,113","210,502,906",27.2,28.3,26.15,27.1,-0.15,"3,620",
3550,?ØÁ?,"412,079","4,137,107",10,10.1,9.93,10.05,0.05,111,
3557,?âÂ?,"529,297","20,651,866",39,39.9,38,38.5,-0.5,311,
3563,?ßÂæ∑,"3,219,787","754,465,436",252.5,255,223.5,223.5,-24.5,"2,799",
3576,?ØÂ??çÁ?,"8,684,710","42,206,064",4.8,4.95,4.76,4.8,0.09,"2,097",
3583,"ËæõËÄ?,492","613""","19,093,799",38.8,39.7,37.8,37.85,-0.85,370,
3588,?öÂ?,"374,008","7,817,518",20,21.8,20,21.2,0.6,301,
3591,"?æÁ?Ê£?,150","206""","1,254,438",8.32,8.47,8.25,8.36,0.09,95,
3593,?õÈ?,"107,459","866,831",8.29,8.29,7.9,7.9,-0.39,63,
3596,?∫Ê?,"5,488,495","338,077,926",61.2,62.8,60.5,60.7,2.5,"4,105",
3605,ÂÆèËá¥,"800,995","14,809,957",18.85,19.15,18,18.05,-0.7,488,
3607,Ë∞∑Â¥ß,"280,012","2,501,908",9.05,9.16,8.56,8.56,-0.44,175,
3617,Á¢©Â§©,"341,524","26,042,781",76.5,77.1,75.5,75.8,0.3,278,
3622,Ê¥ãËèØ,"392,054","6,318,918",15.95,16.5,15.7,16.15,0.5,233,
3645,?îÈ?,"817,900","22,412,550",27.7,28.1,26.5,26.5,-1.1,551,
3653,?•Á?,"8,006,371","1,180,599,182",146,152.5,141.5,142,-0.5,"5,769",
3661,‰∏ñËäØ-KY,"8,802,897","1,527,655,005",177,179,165,165,-7,"6,377",
3665,Ë≤øËÅØ-KY,"3,372,593","511,393,450",152,156,147.5,148,1,"2,653",
3669,?ìÂ?,"4,503,262","111,367,042",26.5,27.1,23.15,23.15,-2.55,"2,402",
3673,TPK-KY,"4,637,059","168,537,180",36.75,37.3,35,35.2,-0.8,"2,948",
3679,"?∞Ëá≥??,144","202""","6,656,491",46.6,47.1,45.45,45.45,-1.25,117,
3682,"‰∫ûÂ§™??,4",205,"060""","23,861,320",5.71,5.75,5.61,5.61,-0.05,"1,438"
3686,?îËÉΩ,"344,539","1,102,477",3.29,3.29,3.15,3.27,-0.02,163,
3694,Êµ∑ËèØ,"303,000","3,627,600",11.9,12.3,11.85,12.05,0.15,174,
3698,?ÜÈ?,"1,496,508","16,657,384",11.25,11.4,10.7,10.85,-0.35,778,
3701,"Â§ßÁúæ??,14","998""","189,570",12.75,12.75,12.6,12.6,0.25,21,
3702,"Â§ßËÅØÂ§?,6",909,"498""","242,043,409",35.05,35.3,34.75,34.9,-0.2,"3,180"
3702A,"Â§ßËÅØÂ§ßÁî≤??,738","250""","35,574,775",48.2,48.3,48.1,48.2,-0.1,210,
3703,Ê¨?ô∏,"747,046","7,480,530",9.91,10.25,9.91,9.97,0.06,296,
3704,"?àÂã§??,3",740,"000""","42,608,350",11.1,11.65,11.1,11.6,0.45,"2,001"
