Ë≠âÂà∏‰ª??,Ë≠âÂà∏?çÁ®±,?ê‰∫§?°Êï∏,?ê‰∫§?ëÈ?,?ãÁõ§???ÄÈ´òÂÉπ,?Ä‰ΩéÂÉπ,?∂Áõ§??Êº≤Ë??πÂ∑Æ,?ê‰∫§Á≠ÜÊï∏,,,
00865B,?ãÊ≥∞US?≠Ê??¨ÂÇµ,"99,000","3,899,070",39.43,39.43,39.35,39.35,-0.15,21,
866,?∞Â?Shiller CAPE,"34,000","514,230",15.2,15.2,14.98,15,-0.2,6,
01001T,?üÈ?ÂØåÈÇ¶R1,"404,000","6,566,650",16.3,16.3,16.23,16.3,-0.01,30,
01002T,?üÈ??ãÊ≥∞R1,"795,000","13,684,380",17.2,17.3,17.19,17.3,0.1,220,
01003T,?ÜË??∞Â?R1,"41,000","760,630",18.5,18.7,18.5,18.58,-0.22,16,
01004T,?üÈ?ÂØåÈÇ¶R2,"103,000","1,477,280",14.23,14.38,14.23,14.36,-0.02,16,
01007T,?ÜË??ãÊ≥∞R2,"360,000","6,211,190",17.3,17.3,17.22,17.29,-0.04,25,
01009T,?ãÈ??ìÊªøR1,"49,000","457,630",9.47,9.47,9.31,9.47,-0.03,4,
01010T,‰∫¨Â?Ê®ÇÂ?R1,"79,000","784,970",9.9,10,9.9,10,0,21,
20000,ÂØåÈÇ¶?πÈÅ∏?ãÊ?N,"270,000","1,162,220",4.35,4.35,4.25,4.25,-0.1,34,
20002,?ÉÂ??∞‰∏≠?ãN,0,0,0,0,0,0,0,0,
20004,?ÜË??ªË???0N,"4,000","75,480",18.87,18.87,18.87,18.87,0.19,1,
20005,Ê∞∏Ë?Â§ñË?50N,0,0,0,0,0,0,0,0,
20006,Ê∞∏Ê?‰∏≠Â?300N,0,0,0,0,0,0,0,0,
20007,?±Âü∫?∫ÁÅ£500N,0,0,0,0,0,0,0,0,
20008,?ÉÂ§ß?πËÇ°È´òÊÅØN,"52,000","509,380",9.8,9.82,9.77,9.79,-0.03,19,
20011,Áµ±‰?ÂæÆÊ≥¢È´òÊÅØ20N,"16,000","65,760",4.11,4.11,4.11,4.11,-0.11,4,
20012,ÂØåÈÇ¶Ë°åÂ??öË?N,"1,816,000","7,159,580",3.98,3.98,3.84,3.84,-0.07,172,
1101,?∞Ê≥•,"36,467,777","1,343,606,922",37.3,37.5,36,36,-1.6,"15,058",
1101B,?∞Ê≥•‰πôÁâπ,"86,195","4,604,393",53.4,53.8,53.1,53.8,0.2,52,
1102,‰∫ûÊ≥•,"10,728,627","408,137,154",38.2,38.75,37.5,37.5,-0.75,"5,016",
1103,?âÊ≥•,"1,748,006","26,519,790",15.5,15.5,14.85,14.9,-0.35,"1,004",
1104,?∞Ê≥•,"551,863","8,360,926",15.4,15.4,15,15.05,-0.3,345,
1108,Âπ∏Á?,"207,000","1,220,120",5.91,6,5.66,5.94,0.12,110,
1109,‰ø°Â§ß,"298,100","4,359,709",14.5,14.8,14.35,14.5,0,166,
1110,?±Ê≥•,"103,000","1,540,900",15.45,15.45,14.5,14.5,-0.95,84,
1201,?≥ÂÖ®,"2,010,607","34,563,135",17.35,17.55,17,17.05,-0.1,836,
1203,?≥Á?,"112,011","2,827,847",25.15,25.4,25,25.3,-0.05,93,
1210,Â§ßÊ?,"2,788,796","97,820,786",35.85,35.85,34.7,34.7,-0.55,"1,617",
